Year,Company Name,Country,Industry Exiobase,% Total Environmental Intensity -Revenue,% Total Environmental Intensity -Operating Income,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity Drinking water & Irrigation Water,Wood Production Capacity,% Imputed,Total Environmental Cost
2018,AMERICAN ELECTRIC POWER COMPANYINC.,United States,Production of electricity nec,-181.93,-1070.17,26594186805,6848402,349177455,81914298,1156486,2449146,2430482514,1160757,2,29465054348
2015,EDISON INTERNATIONAL,United States,Production of electricity nec,-25.71,-147.18,1628706619,329874,19144373,4407438,"-60,431",1698006,1308222534,157160,13,2962726436
2011,AMP LIMITED,Australia,Financial intermediationexcept insurance and pension funding 65,0.01,0.02,305124,-338,"3,626",865,-28,"-2,363","1,528","1,051",17,309465
2017,COMPEQ MANUFACTURING COMPANY LIMITED,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-9.29,-87.07,160447141,-36727,2130332,497701,"-6,669","-5,793",5351601,63,1,168475901
2017,SOGEFI SPA,Italy,Manufacture of machinery and equipment n.e.c. 29,-2.51,-35.42,44789159,-10493,582036,136175,"-1,871",178299,4689873,502,1,50387404
2018,WIPRO LIMITED,India,Computer and related activities 72,-0.86,-5.58,40347587,-9254,536332,125632,"-1,683",-610,25929738,139,0,66950697
2018,RANK GROUP PLC,United Kingdom,Recreationalcultural and sporting activities 92,-1.37,-12.27,11776920,-2736,156665,"-36,718",-494,-684,"-64,565",102,1,12038680
2018,TATE & LYLE PLC,United Kingdom,Processing of Food products nec,-24.07,-225.7,807908182,188472,10736179,2514861,"-34,007",128209,9835003,"10,438",0,831334475
2016,DOWNER EDI LIMITED,Australia,Other service activities 93,-1.66,-40.72,80742475,-18697,1081889,250439,"-3,384","-2,694",440375,"1,067",0,82538886
2011,SUZUKI MOTOR CORPORATION,Japan,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.73,-17.78,241515078,-60991,3242958,722010,"-10,699","-49,654",1594107,"23,506",3,247171991
2012,KIKKOMAN CORPORATION,Japan,Processing of Food products nec,-1.37,-21.87,42334381,-10572,563341,131533,"-1,856","-5,759",1890998,"2,538",2,44935902
2017,MOTOROLA SOLUTIONS INCORPORATION,United States,Manufacture of radiotelevision and communication equipment and apparatus 32,-0.47,-2.24,25596699,-7489,342450,"-80,100","-1,247","-9,376",3639111,"4,830",12,29671641
2017,JPMORGAN CHASE & CO.,United States,Financial intermediationexcept insurance and pension funding 65,-0.2,-0.64,164736965,-53101,2182695,509187,"-8,567","-97,951",60377914,"45,821",12,227920559
2017,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN SCA,France,Manufacture of rubber and plastic products 25,-3.77,-30.13,945152320,212427,12722717,2919578,"-39,013","-2,221",33929501,922,0,994976855
2017,SA SA INTERNATIONAL HOLDINGS LIMITED,Hong Kong,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.45,-12.18,4197675,-1433,"-53,208","-12,034",-226,"-4,068",233691,"1,488",15,4500847
2010,CHINA PETROCHEMICAL DEVELOPMENT CORPORATION,Taiwan,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-58.47,-479.81,794497726,206062,10286117,2327924,"-35,259",432691,4092787,"75,719",0,811802848
2017,NITTO DENKO CORPORATION,Japan,Chemicals nec,-4.25,-37.99,277411060,-61856,3553282,821655,"-11,195",912626,6650703,"-6,193",8,289428570
2013,TAKKT AG,Germany,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.33,-3.22,4150213,-1004,"-54,526","-12,768",-178,"-8,916","-88,295",136,1,4315763
2012,EMIRA PROPERTY FUND,South Africa,Financial intermediationexcept insurance and pension funding 65,-40.29,-112.12,58223526,-13315,774319,181532,"-2,423",-252,319214,-1,0,59514582
2013,ALBEMARLE CORPORATION,United States,Chemicals nec,-11.74,-49.86,308969030,-93991,4046927,933729,"-13,873",118575,6864296,"21,081",3,307290748
2011,COMPAGNIE FINANCIERE RICHEMONT SA,Switzerland,Manufacture of wearing apparel; dressing and dyeing of fur 18,-0.13,-0.65,14531374,-5073,197660,"-43,675",-770,"-7,787",222193,"4,602",19,15003929
2015,INSURANCE AUSTRALIA GROUP LIMITED,Australia,Insurance and pension fundingexcept compulsory social security 66,0.08,1.75,7867078,250,111339,"27,990",151,"-31,213","49,265","5,169",16,8030030
2016,SAS AB,Sweden,Air transport 62,-19.52,-589.27,828507569,365102,11712754,2729760,"-55,359",-  ,4946222,553097,1,847763669
2017,ARCA CONTINENTAL SAB DE CV,Mexico,Manufacture of beverages,-1.63,-12.11,98890940,-27220,1306429,279096,"-4,456",218940,13692904,"13,115",9,114406870
2013,PHAROL SGPS SA,Portugal,Post and telecommunications 64,-1.54,-11.29,59341627,-14333,792043,185637,"-2,560","-3,777",1247204,"2,388",0,61584794
2017,KOSMOS ENERGY LIMITED,United States,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,15.31,0,87029707,-36687,958693,229217,"-2,866","-45,405",217413,170688,2,88520761
2015,CATERPILLAR INC.,United States,Manufacture of motor vehiclestrailers and semi-trailers 34,-1.39,-13.77,596301234,197681,7894483,1689221,"-31,582",727214,47528393,208429,14,654161379
2010,MITSUBISHI TANABE PHARMA CORP,Japan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.88,-5.76,41161534,-9786,549252,128257,"-1,753","-1,429",1821014,"1,112",1,43671913
2015,SHIONOGI & CO LTD,Japan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.99,-5.39,21245286,-5261,285599,"-66,153",-930,-869,955165,"1,308",4,22557955
2016,PENTAIR PLC,United Kingdom,Manufacture of fabricated metal productsexcept machinery and equipment 28,-2.29,-15.41,108487187,-26654,1399619,326591,"-4,642",498858,1034894,"4,459",1,111773984
2017,OLAM INTERNATIONAL LIMITED,Singapore,Wholesale trade and commission tradeexcept of motor vehicles and motorcycles 51,-7.06,-230.25,615129025,170975,6175495,1426858,"-94,155",11859750,752173546,"15,463",6,1387014341
2017,TRAVIS PERKINS PLC,United Kingdom,Renting of machinery and equipment without operator and of personal and household goods 71,-0.67,-12.86,56650365,-13377,753519,176639,"-2,398","-6,275",310604,"1,017",2,57912160
2014,HINO MOTORS LTD,Japan,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.89,-13.55,120766485,-29232,1576359,364787,"-5,172","-25,692",3986212,"4,924",5,126749015
2016,SWISSCOM,Switzerland,Post and telecommunications 64,0.06,0.36,7146465,1528,100734,"24,071",290,"-8,662","42,335",348,11,7307110
2016,ASTELLAS PHARMA INCORPORATED,Japan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.63,-3.27,69238850,-16122,921608,215558,"-2,915","-4,585",4209404,987,0,74608056
2012,SMITHS GROUP PLC,United Kingdom,Activities of membership organisation n.e.c. 91,-0.69,-4.18,33126876,-7909,440876,103216,"-1,409","-4,751",443929,772,2,34128194
2013,PROCTER & GAMBLE CO,United States,Chemicals nec,-2.31,-12.37,1465883150,521718,20243043,4035479,"-71,885",3814416,453894851,346116,12,1948118425
2011,TATE & LYLE PLC,United Kingdom,Processing of Food products nec,-26.45,-225.54,1087495238,253096,14452980,3385847,"-45,714",151891,12366401,"12,366",0,1118138801
2015,FAR EASTERN NEW CENTURY CORPORATION,Taiwan,Activities of membership organisation n.e.c. 91,-8.97,-134.77,580000556,146898,7702986,1801721,"-25,539",307517,3167949,"37,127",2,593116040
2017,SCHINDLER HOLDING AG,Switzerland,Manufacture of fabricated metal productsexcept machinery and equipment 28,-0.55,-4.67,55444748,-13370,740893,172730,"-2,370","-2,671",523956,"1,708",3,56899029
2014,SUNCORP GROUP LIMITED,Australia,Insurance and pension fundingexcept compulsory social security 66,-0.1,-0.45,13161372,-4842,167102,"-36,944",-757,"-36,935","-64,909","6,117",17,13466744
2014,SACYR SA,Spain,Construction 45,-22.27,-284.68,226789460,-52623,3020583,705672,"-9,489","-2,561",551324059,"1,483",0,781902964
2016,CIMB GROUP HOLDINGS BERHAD,Malaysia,Financial intermediationexcept insurance and pension funding 65,-0.13,-0.77,7221811,-2612,"-92,856","-21,527",-390,"-12,756","-37,836","2,366",19,7387423
2017,CAPITAL SECURITIES CORPORATION,Taiwan,Financial intermediationexcept insurance and pension funding 65,-0.33,-1.07,1003633,-365,"-12,370","-2,461",-57,"-2,270","-4,323",494,8,1024985
2016,MODERN TIMES GROUP MTG AB,Sweden,Recreationalcultural and sporting activities 92,-0.12,-1.53,2133819,-493,"-27,027","-6,314",-87,-696,"-23,751",-28,6,2192215
2013,ABSA GROUP LTD,South Africa,Financial intermediationexcept insurance and pension funding 65,-1.25,-6.4,107330226,-24518,1425282,333866,"-4,461","-15,974",587081,-87,0,109721495
2010,PITNEY BOWES INC.,United States,Other service activities 93,-0.65,-4.15,34560587,-8367,456437,105395,"-1,483","-4,753",185311,"1,459",2,35320873
2010,AON PLC,United Kingdom,Insurance and pension fundingexcept compulsory social security 66,-0.04,-0.28,3302011,-1057,"-44,540","-10,411",-170,"-4,461","-18,302",845,17,3380108
2015,STAR ENTERTAINMENT GROUP LTD,Australia,Recreationalcultural and sporting activities 92,-2.38,-18.4,32373153,-7461,431746,100690,"-1,354",-499,4136513,243,0,37051173
2018,HOSKEN CONSOLIDATED INVESTMENTS LIMITED,South Africa,Activities of membership organisation n.e.c. 91,-14.2,-69.17,143799482,-32123,1858591,432125,"-5,815",210890,88658241,"-3,368",4,235000634
2018,LOTTE CHILSUNG BEVERAGE CO.LTD.,South Korea,Manufacture of beverages,-2.15,-61.86,44247728,-12120,577457,134882,"-2,037","-28,154",363307,"5,250",8,45360434
2016,INDUSTRIAS PENOLES S.A.B. DE CV,Mexico,Quarrying of sand and clay,-23.29,-105.14,908204311,209132,12071033,2830342,"-37,881","-8,475",4976986,"1,730",0,928336430
2014,KISCO CORPORATION,South Korea,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,-29,-1738.43,184257870,-44285,2102012,490822,"-7,422",7843918,3725281,"1,022",15,198470589
2011,SAMSUNG ELECTRONICS COMPANY LIMITED,South Korea,Manufacture of office machinery and computers 30,-2.53,-29.37,3491467354,804351,46366480,10852792,145592,470688,57037965,"9,219",0,3607136004
2010,DIALOG AXIATA PUBLIC LIMITED COMPANY,Sri Lanka,Post and telecommunications 64,-3.94,-33.69,14088959,-3416,184653,"-43,073",-601,"-7,642",378317,415,1,14706245
2012,FIRSTGROUP PLC,United Kingdom,Other land transport,-8.91,-149.7,945331679,218039,12563069,2945063,"-39,546","-11,632",6249614,"5,459",0,967353183
2013,SHREE CEMENT LTD,India,Quarrying of sand and clay,-341.59,-1644.74,2885924556,715433,35505644,8215965,123198,2106347,58147775,126080,16,2990612837
2016,NOVARTIS AG,Switzerland,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-1.2,-6.53,471159362,108944,6224385,1454238,"-19,717",884292,113288243,"4,654",1,593134528
2010,KONINKLIJKE AHOLD DELHAIZE NV,Netherlands,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.74,-36.65,673921077,156426,8978327,2101478,"-28,315","-22,970",3696437,"7,499",1,688897532
2011,RECKITT BENCKISER GROUP PLC,United Kingdom,Chemicals nec,-0.61,-2.36,81507729,-32843,1207804,176672,"-3,803",298045,6101097,"21,275",8,89306719
2011,NOMURA REAL ESTATE HOLDINGSINC,Japan,Real estate activities 70,-0.25,-4.51,15440938,-3810,205738,"-48,115",-673,"-2,914",229577,829,4,15930937
2011,RIETER HOLDING AG,Switzerland,Manufacture of fabricated metal productsexcept machinery and equipment 28,-1.42,-16.96,14714352,-3418,196285,"-45,818",-617,-232,239962,148,1,15200536
2018,POLYPIPE GROUP PLC,United Kingdom,Construction 45,-2.71,-17.31,14628828,-3388,194615,"-45,609",-613,-306,"-80,200",110,1,14953449
2011,SUMITOMO METAL MINING CO LTD,Japan,Quarrying of sand and clay,-5.65,-50.84,619953189,157187,8204539,1926725,"-26,775","-26,713",4435298,"21,403",0,634709022
2016,SUMITOMO DAINIPPON PHARMA CO LTD,Japan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.65,-7.13,22004173,-5327,294634,"-68,570",-951,"-1,347",189288,"1,015",1,22563275
2014,NCC GROUP PLC,United Kingdom,Computer and related activities 72,-0.21,-1.03,340307,-89,"-4,517","-1,059",-15,-164,"-20,266",23,3,366393
2012,TOHOKU ELECTRIC POWER CO INC,Japan,Production of electricity nec,-65.78,0,12542020384,3018760,164010458,38456172,531132,1553904,67619293,236068,3,12816974036
2010,WIENERBERGER AG,Austria,Quarrying of sand and clay,-26.93,0,613387297,140445,8124620,1903828,"-25,503","-4,123",6889159,-335,0,630475310
2015,ASIA CEMENT CORP,Taiwan,Quarrying of sand and clay,-67.46,-1106.94,1305899225,352626,17527049,4108135,"-60,282","-11,734",28319971,154213,0,1356124808
2012,TATA CHEMICALS LIMITED,India,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-72.83,-595.53,1389868134,340430,18467840,4333809,"-59,566","-2,622",399263644,"40,269",0,1812295776
2017,EUROBANK ERGASIAS SA,Greece,Financial intermediationexcept insurance and pension funding 65,-0.64,-5.42,13852306,-2888,169385,"-39,143",-529,"-6,859",2650107,"-1,038",14,16722254
2010,ASHTEAD GROUP PLC,United Kingdom,Renting of machinery and equipment without operator and of personal and household goods 71,-4.35,-55.91,55759160,-12815,741591,173861,"-2,327",-950,305723,154,0,56996273
2016,KIMBERLY-CLARK CORPORATION,United States,Chemicals nec,-10.75,-58.99,1374196872,333766,18576756,4163180,"-58,629",978661,558462493,"63,697",4,1956706661
2010,JOHNSON & JOHNSON,United States,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.47,-1.71,265407601,-58970,3284775,760712,"-10,493",162839,18202508,"-11,489",8,287899386
2012,HCPINC.,United States,Financial intermediationexcept insurance and pension funding 65,-4.05,-9.9,75357514,-17447,1002115,234908,"-3,160","-1,358",413065,636,1,77028933
2013,CASELLA WASTE SYSTEMS INC,United States,Real estate activities 70,-44.43,-1153.29,197900584,-45289,2630974,616806,"-8,239",-331,1084613,69,0,202286767
2017,POYA CO LTD,Taiwan,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.3,-10.01,5668798,-1461,"-74,285","-17,164",-254,"-1,846","-30,176",537,5,5793446
2013,DOWA HOLDINGS COMPANY LIMITED,Japan,Quarrying of sand and clay,-11.57,-197.55,440012925,107568,5864578,1374854,"-19,024","-9,976",14368705,"18,265",0,461739364
2014,PETRONAS CHEMICALS GROUP BHD,Malaysia,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-35.26,-182.37,1428739181,457589,19043235,4370125,"-74,651",514130,17902909,423089,9,1470678731
2011,UBE INDUSTRIES LTD,Japan,Petroleum Refinery,-38.4,-531.11,3004866464,858023,40147439,9335242,143161,3545698,16411599,484230,3,3074823396
2010,WASTE MANAGEMENTINC.,United States,Real estate activities 70,-62.42,-383.67,7642074908,1748641,101604879,23820397,318141,"-10,247",41886640,"2,154",0,7811461699
2018,FRANKLIN RESOURCES INCORPORATED,United States,Financial intermediationexcept insurance and pension funding 65,-0.13,-0.41,8090910,-2699,107152,"-24,982",-431,"-5,390","-43,907","2,522",19,8272949
2018,LEWIS GROUP LTD,South Africa,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-3.72,-54.45,14042862,-3209,186591,"-43,723",-584,"-1,271","-76,883",-8,0,14355130
2013,AMG ADVANCED METALLURGICAL GROUP N.V.,Netherlands,Quarrying of sand and clay,-16.96,-532.86,144296637,-46903,1903952,448967,"-7,032","-7,104",998529,"23,818",0,147685305
2016,CITYCON OYJ,Finland,Real estate activities 70,-5.97,-13.66,20382711,-4719,269297,"-63,100",-851,"-6,843",424763,91,0,21152193
2016,AKZO NOBEL N.V.,Netherlands,Chemicals nec,-8.01,-75.73,1063251967,284243,13747192,3206227,"-45,693",1750530,118099160,"30,269",4,1200354744
2016,NEWS CORP,United States,Publishingprinting and reproduction of recorded media 22,-0.78,-19.08,44865939,-18000,590888,136380,"-2,621",143832,18564818,"19,797",3,64302679
2017,DUKE ENERGY CORP,United States,Production of electricity nec,-510.3,-1992.6,27975661677,7115643,367212587,86017934,1219267,3563546,91813749996,1391830,1,1.20E+11
2015,SOUTHWEST AIRLINES CO.,United States,Air transport 62,-31.45,-150.04,6100547704,1378965,80013883,18544598,252369,930234,32609279,"22,476",5,6234254557
2012,INTERNATIONAL PAPER COMPANY,United States,Paper,-17.39,-232.53,3896575304,1362907,45583802,10487118,192997,5603374,879919392,818759,20,4838906134
2015,ICA GRUPPEN AB,Sweden,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.38,-9.68,38616264,-11631,502891,117303,"-1,911","-22,657",5995100,"8,262",3,45259496
2016,CLICKS GROUP LIMITED,South Africa,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.71,-188.36,29414623,-6716,390406,"-91,424","-1,222","-5,813",347345,-35,1,30257584
2012,CAPITALAND COMMERCIAL TRUST,Singapore,Financial intermediationexcept insurance and pension funding 65,-2.36,-4.26,6636077,-1566,"-88,096","-20,642",-281,-647,499665,120,2,7246853
2010,SEVERN TRENT PLC,United Kingdom,Collectionpurification and distribution of water 41,-6.78,-21.2,177003692,-40630,2353932,551872,"-7,380","-3,428",1010944,316,0,180971562
2012,MACRONIX INTERNATIONAL COMPANY LIMITED,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-17.31,0,139200405,-32101,1849895,433317,"-5,818","-2,332",2813317,712,0,144336472
2011,NANKAI ELECTRIC RAILWAY CO LTD,Japan,Transport via railways,-1.18,-10.8,27894390,-7848,344719,"-80,420","-1,292","-4,261",141349,"3,709",7,28470570
2013,SANDVIK AB,Sweden,Manufacture of fabricated metal productsexcept machinery and equipment 28,-0.79,-7.86,88437480,-22075,1086077,253506,"-3,764",959826,16751448,"4,021",10,107510156
2015,SANTANDER BANK POLSKA SA,Poland,Financial intermediationexcept insurance and pension funding 65,-0.53,-1.76,11665526,-2876,134966,"-31,514",-466,"-11,379","-55,693",-429,10,11902849
2016,WEST JAPAN RAILWAY CO,Japan,Transport via railways,-5.02,-40.14,602128934,148503,7814926,1829255,"-26,022","-31,336",12682748,"27,278",3,624634446
2017,COMPASS GROUP PLC,United Kingdom,Other service activities 93,-0.13,-1.56,36498945,-10588,484141,113331,"-1,707","-32,980",3073265,"4,684",6,40210274
2018,TARKETT SA,France,Construction 45,-3.04,-75.59,95298706,-22066,1270417,296636,"-3,989",-926,1763023,711,1,98655051
2018,MANDO CORP,South Korea,Manufacture of machinery and equipment n.e.c. 29,-0.85,-24.63,28797272,-9250,369069,"-86,822","-1,333","-36,538",14192294,"2,772",20,43489807
2017,MITSUI E&S HOLDINGS CO LTD,Japan,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.58,-51.53,37090918,-10286,491600,108996,"-1,741","-13,389",279161,"6,338",11,37989753
2017,KANEKA CORPORATION,Japan,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-9.33,-154.15,440158477,109989,5901296,1368938,"-19,356","-50,287",6291124,"29,409",1,453870059
2017,GRAND PACIFIC PETROCHEMICAL CORPORATION,Taiwan,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-30.34,-285.21,233162746,-52780,2822213,654837,"-9,395",226006,1151387,"-3,379",19,238082744
2016,ARCELORMITTAL SA,Luxembourg,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,-115.4,-2114.75,58023406809,14830470,722493613,169764712,2440378,2778031481,3826525178,1288433,12,65536204230
2012,DRAX GROUP PLC,United Kingdom,Production of electricity by hydro,-52.96,-392.91,1438469971,929585,19075245,4554803,109587,"-73,059",69905965,1200025,0,1531918188
2012,TOYOTA MOTOR CORPORATION,Japan,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.98,-53.71,2042705159,579166,26784528,6107094,"-90,217",276309,34791372,130803,2,2111203042
2017,AEON COMPANY LIMITED,Japan,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.38,-17.19,270262558,-87167,3453261,805243,"-13,953",167495,4743810,"73,697",16,279459790
2018,VONTOBEL HOLDING AG,Switzerland,Financial intermediationexcept insurance and pension funding 65,0.04,-0.08,202394,-46,"-2,692",-631,-8,-  ,"-3,942",-  ,0,209714
